[30.267153, -97.7430608]
[30.267153, -97.7430608]
[33.8314045, -118.0728424]
[35.4675602, -97.5164276]
[44.1670079, -71.96620089999999]
[37.3477174, -120.609084]
[33.8536269, -118.1339563]
[34.0522342, -118.2436849]
[29.7604267, -95.3698028]
[33.4151843, -111.8314724]
[32.7766642, -96.79698789999999]
[35.3732921, -119.0187125]
[26.3017374, -98.1633432]
[39.3642834, -74.4229266]
[39.1097268, -94.4446742]
[37.7030646, -85.8649408]
[45.48706199999999, -122.8037102]
[36.4339674, -81.47183869999999]
[37.8421975, -112.8279996]
[33.4483771, -112.0740373]
[41.8781136, -87.6297982]
[37.12605780000001, -122.1221869]
[34.0522342, -118.2436849]
[39.0997265, -94.5785667]
[36.1699412, -115.1398296]
[33.5967815, -83.8601827]
[41.8781136, -87.6297982]
[39.0954484, -121.5521858]
[39.7392358, -104.990251]
[26.1275862, -80.23310359999999]
[30.267153, -97.7430608]
[41.8978091, -87.81394829999999]
[42.866632, -106.313081]
[33.8081608, -84.17019599999999]
[41.2082089, -122.2719529]
[42.46676300000001, -70.9494938]
[34.0522342, -118.2436849]
[28.5783313, -81.8867451]
[41.30838929999999, -80.955924]
[44.1025148, -85.14698349999999]
[33.9424658, -117.2296717]
[43.0494572, -88.0075875]
[25.4687224, -80.4775569]
[39.114053, -94.6274636]
[35.0456297, -85.3096801]
[41.1399814, -104.8202462]
[31.2826685, -86.2555067]
[47.6062095, -122.3320708]
[28.5383355, -81.3792365]
[34.8480597, -114.6141315]
[35.1495343, -90.0489801]
[25.9017472, -97.4974838]
[40.5852602, -105.084423]
[33.4483771, -112.0740373]
[39.3958369, -101.0523773]
[39.1214868, -84.5091102]
[29.8202205, -94.38407769999999]
[37.5482697, -121.9885719]
[34.2828722, -84.7452138]
[26.1723065, -80.1319893]
[31.6074365, -81.8853924]
[42.60111939999999, -89.6384532]
[35.4675602, -97.5164276]
[39.9525839, -75.1652215]
[39.7589478, -84.1916069]
[45.0105194, -93.4555093]
[33.6890603, -78.8866943]
[42.7596897, -105.3822069]
[39.0010079, -121.0218887]
[34.1395597, -118.3870991]
[36.3293051, -80.43311159999999]
[29.95106579999999, -90.0715323]
[33.7748275, -84.2963123]
[36.1699412, -115.1398296]
[29.504692, -82.2798227]
[32.5251516, -93.7501789]
[34.6856555, -82.9532036]
[34.0859829, -81.1831513]
[29.5957696, -90.71953479999999]
[40.0149856, -105.2705456]
[35.8800733, -90.1670393]
[32.3199396, -106.7636538]
[41.7369803, -111.8338359]
[38.8882398, -119.7412875]
[41.2082089, -122.2719529]
[32.7554883, -97.3307658]
[33.9791793, -118.032844]
[35.0853336, -106.6055534]
[33.3942655, -104.5230242]
[38.4148146, -81.8440197]
[32.2217429, -110.926479]
[29.7604267, -95.3698028]
[37.8043637, -122.2711137]
[40.2775915, -76.5852462]
[37.5643209, -77.88245959999999]
[40.1933767, -85.3863599]
[32.7157305, -117.1610966]
[40.3083672, -88.1558785]
[38.2526647, -85.7584557]
[42.9614039, -88.0125865]
[20.7983626, -156.3319253]
[37.5407246, -77.4360481]
[36.0597177, -86.6715948]
[47.2528768, -122.4442906]
[39.0125608, -84.60466629999999]
[31.7618778, -106.4850217]
[32.735687, -97.10806559999999]
[36.1699412, -115.1398296]
[36.7468422, -119.7725868]
[47.19159370000001, -114.8917978]
[35.612661, -77.3663538]
[33.7700504, -118.1937395]
[29.7860643, -95.95106609999999]
[33.0185039, -80.17564809999999]
[35.262082, -81.18730049999999]
[47.6587802, -117.4260465]
[39.768403, -86.158068]
[34.1742611, -97.14362539999999]
[41.3259134, -75.78936039999999]
[37.3382082, -121.8863286]
[33.3528264, -111.789027]
[48.276577, -116.553465]
[31.549333, -97.1466695]
[31.8456816, -102.3676431]
[37.8043637, -122.2711137]
[34.0522342, -118.2436849]
[33.7475203, -116.9719684]
[41.6639383, -83.55521200000001]
